-------------------------
Circuit delay: 2844.5946ps

INPUT-P2_WR_REG_SCAN_IN: 3066.2696 ps
INPUT-SI_31_: 2403.049 ps
INPUT-SI_30_: 2451.8887 ps
INPUT-SI_29_: 2396.5167 ps
INPUT-SI_28_: 2234.6488 ps
INPUT-SI_27_: 2220.7667 ps
INPUT-SI_26_: 2181.074 ps
INPUT-SI_25_: 2141.3812 ps
INPUT-SI_24_: 2101.6885 ps
INPUT-SI_23_: 2061.9957 ps
INPUT-SI_22_: 2022.303 ps
INPUT-SI_21_: 1982.6102 ps
INPUT-SI_20_: 1942.9175 ps
INPUT-SI_19_: 1903.2248 ps
INPUT-SI_18_: 1863.532 ps
INPUT-SI_17_: 1823.8393 ps
INPUT-SI_16_: 1784.1465 ps
INPUT-SI_15_: 1744.4467 ps
INPUT-SI_14_: 1670.6831 ps
INPUT-SI_13_: 1637.605 ps
INPUT-SI_12_: 1604.5294 ps
INPUT-SI_11_: 1599.835 ps
INPUT-SI_10_: 1614.5461 ps
INPUT-SI_9_: 1581.4681 ps
INPUT-SI_8_: 1548.3925 ps
INPUT-SI_7_: 1546.5451 ps
INPUT-SI_6_: 1558.8234 ps
INPUT-SI_5_: 1525.7463 ps
INPUT-SI_4_: 1521.3031 ps
INPUT-SI_3_: 1507.7048 ps
INPUT-SI_2_: 1504.1974 ps
INPUT-SI_1_: 1485.3531 ps
INPUT-SI_0_: 1485.3531 ps
INPUT-P2_RD_REG_SCAN_IN: 284.4595 ps
INPUT-P2_STATE_REG_SCAN_IN: 2406.0328 ps
INPUT-P2_REG3_REG_7__SCAN_IN: 1418.7184 ps
INPUT-P2_REG3_REG_27__SCAN_IN: 1815.4813 ps
INPUT-P2_REG3_REG_14__SCAN_IN: 1530.0097 ps
INPUT-P2_REG3_REG_23__SCAN_IN: 1729.424 ps
INPUT-P2_REG3_REG_10__SCAN_IN: 1480.9044 ps
INPUT-P2_REG3_REG_3__SCAN_IN: 1418.7184 ps
INPUT-P2_REG3_REG_19__SCAN_IN: 1643.3666 ps
INPUT-P2_REG3_REG_28__SCAN_IN: 1868.4578 ps
INPUT-P2_REG3_REG_8__SCAN_IN: 1480.9044 ps
INPUT-P2_REG3_REG_1__SCAN_IN: 1771.5585 ps
INPUT-P2_REG3_REG_21__SCAN_IN: 1686.3953 ps
INPUT-P2_REG3_REG_12__SCAN_IN: 1530.0097 ps
INPUT-P2_REG3_REG_25__SCAN_IN: 1772.4526 ps
INPUT-P2_REG3_REG_16__SCAN_IN: 1600.3376 ps
INPUT-P2_REG3_REG_5__SCAN_IN: 1418.7184 ps
INPUT-P2_REG3_REG_17__SCAN_IN: 1600.3376 ps
INPUT-P2_REG3_REG_24__SCAN_IN: 1772.4526 ps
INPUT-P2_REG3_REG_4__SCAN_IN: 1418.7184 ps
INPUT-P2_REG3_REG_9__SCAN_IN: 1480.9044 ps
INPUT-P2_REG3_REG_0__SCAN_IN: 1797.762 ps
INPUT-P2_REG3_REG_20__SCAN_IN: 1686.3953 ps
INPUT-P2_REG3_REG_13__SCAN_IN: 1530.0097 ps
INPUT-P2_REG3_REG_22__SCAN_IN: 1729.424 ps
INPUT-P2_REG3_REG_11__SCAN_IN: 1480.9044 ps
INPUT-P2_REG3_REG_2__SCAN_IN: 1676.7267 ps
INPUT-P2_REG3_REG_18__SCAN_IN: 1643.3666 ps
INPUT-P2_REG3_REG_6__SCAN_IN: 1418.7184 ps
INPUT-P2_REG3_REG_26__SCAN_IN: 1815.4813 ps
INPUT-P2_REG3_REG_15__SCAN_IN: 1530.0097 ps
INPUT-P2_B_REG_SCAN_IN: 1512.97 ps
INPUT-P2_DATAO_REG_31__SCAN_IN: 2339.462 ps
INPUT-P2_DATAO_REG_30__SCAN_IN: 2372.2169 ps
INPUT-P2_DATAO_REG_29__SCAN_IN: 2322.317 ps
INPUT-P2_DATAO_REG_28__SCAN_IN: 2160.4491 ps
INPUT-P2_DATAO_REG_27__SCAN_IN: 2149.8721 ps
INPUT-P2_DATAO_REG_26__SCAN_IN: 2110.1794 ps
INPUT-P2_DATAO_REG_25__SCAN_IN: 2070.4866 ps
INPUT-P2_DATAO_REG_24__SCAN_IN: 2030.7939 ps
INPUT-P2_DATAO_REG_23__SCAN_IN: 1991.1011 ps
INPUT-P2_DATAO_REG_22__SCAN_IN: 1951.4084 ps
INPUT-P2_DATAO_REG_21__SCAN_IN: 1911.7156 ps
INPUT-P2_DATAO_REG_20__SCAN_IN: 1872.0229 ps
INPUT-P2_DATAO_REG_19__SCAN_IN: 1832.3302 ps
INPUT-P2_DATAO_REG_18__SCAN_IN: 1792.6374 ps
INPUT-P2_DATAO_REG_17__SCAN_IN: 1752.9447 ps
INPUT-P2_DATAO_REG_16__SCAN_IN: 1713.2519 ps
INPUT-P2_DATAO_REG_15__SCAN_IN: 1673.5521 ps
INPUT-P2_DATAO_REG_14__SCAN_IN: 1599.789 ps
INPUT-P2_DATAO_REG_13__SCAN_IN: 1566.7109 ps
INPUT-P2_DATAO_REG_12__SCAN_IN: 1533.6353 ps
INPUT-P2_DATAO_REG_11__SCAN_IN: 1526.0362 ps
INPUT-P2_DATAO_REG_10__SCAN_IN: 1543.652 ps
INPUT-P2_DATAO_REG_9__SCAN_IN: 1510.574 ps
INPUT-P2_DATAO_REG_8__SCAN_IN: 1477.4984 ps
INPUT-P2_DATAO_REG_7__SCAN_IN: 1472.7463 ps
INPUT-P1_IR_REG_0__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_1__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_2__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_3__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_4__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_5__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_6__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_7__SCAN_IN: 1094.5183 ps
INPUT-P1_IR_REG_8__SCAN_IN: 1094.5183 ps
INPUT-P1_IR_REG_9__SCAN_IN: 1094.5183 ps
INPUT-P1_IR_REG_10__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_11__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_12__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_13__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_14__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_15__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_16__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_17__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_18__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_19__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_20__SCAN_IN: 1094.5183 ps
INPUT-P1_IR_REG_21__SCAN_IN: 1094.5183 ps
INPUT-P1_IR_REG_22__SCAN_IN: 1094.5183 ps
INPUT-P1_IR_REG_23__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_24__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_25__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_26__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_27__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_28__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_29__SCAN_IN: 1082.6112 ps
INPUT-P1_IR_REG_30__SCAN_IN: 1217.4343 ps
INPUT-P1_IR_REG_31__SCAN_IN: 1120.8981 ps
INPUT-P1_D_REG_0__SCAN_IN: 2319.3227 ps
INPUT-P1_D_REG_1__SCAN_IN: 2331.3906 ps
INPUT-P1_D_REG_2__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_3__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_4__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_5__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_6__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_7__SCAN_IN: 2262.8716 ps
INPUT-P1_D_REG_8__SCAN_IN: 2262.8716 ps
INPUT-P1_D_REG_9__SCAN_IN: 2262.8716 ps
INPUT-P1_D_REG_10__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_11__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_12__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_13__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_14__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_15__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_16__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_17__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_18__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_19__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_20__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_21__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_22__SCAN_IN: 2262.8716 ps
INPUT-P1_D_REG_23__SCAN_IN: 2262.8716 ps
INPUT-P1_D_REG_24__SCAN_IN: 2262.8716 ps
INPUT-P1_D_REG_25__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_26__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_27__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_28__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_29__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_30__SCAN_IN: 2243.269 ps
INPUT-P1_D_REG_31__SCAN_IN: 2243.269 ps
INPUT-P1_REG0_REG_0__SCAN_IN: 1654.1847 ps
INPUT-P1_REG0_REG_1__SCAN_IN: 1687.1363 ps
INPUT-P1_REG0_REG_2__SCAN_IN: 1572.6821 ps
INPUT-P1_REG0_REG_3__SCAN_IN: 1511.5195 ps
INPUT-P1_REG0_REG_4__SCAN_IN: 1632.2359 ps
INPUT-P1_REG0_REG_5__SCAN_IN: 1561.4423 ps
INPUT-P1_REG0_REG_6__SCAN_IN: 1621.3344 ps
INPUT-P1_REG0_REG_7__SCAN_IN: 1689.1523 ps
INPUT-P1_REG0_REG_8__SCAN_IN: 1683.3894 ps
INPUT-P1_REG0_REG_9__SCAN_IN: 1708.198 ps
INPUT-P1_REG0_REG_10__SCAN_IN: 1611.8816 ps
INPUT-P1_REG0_REG_11__SCAN_IN: 1748.2317 ps
INPUT-P1_REG0_REG_12__SCAN_IN: 1812.8688 ps
INPUT-P1_REG0_REG_13__SCAN_IN: 1837.1664 ps
INPUT-P1_REG0_REG_14__SCAN_IN: 1840.3817 ps
INPUT-P1_REG0_REG_15__SCAN_IN: 1755.445 ps
INPUT-P1_REG0_REG_16__SCAN_IN: 1827.5617 ps
INPUT-P1_REG0_REG_17__SCAN_IN: 1948.4046 ps
INPUT-P1_REG0_REG_18__SCAN_IN: 2055.9017 ps
INPUT-P1_REG0_REG_19__SCAN_IN: 1969.6987 ps
INPUT-P1_REG0_REG_20__SCAN_IN: 2070.9587 ps
INPUT-P1_REG0_REG_21__SCAN_IN: 2027.8648 ps
INPUT-P1_REG0_REG_22__SCAN_IN: 1973.6684 ps
